gender,age_bin,income_bin,years_member_bin,max_prob_offer,max_prob_of_offer
Male,18-33,30k-50k,<=5 years,8,0.69
Male,33-48,30k-50k,<=5 years,8,0.68
Male,48-61,30k-50k,<=5 years,8,0.66
Male,61-75,30k-50k,<=5 years,8,0.69
Male,75+,30k-50k,<=5 years,8,0.76
Female,18-33,30k-50k,<=5 years,6,0.75
Female,33-48,30k-50k,<=5 years,6,0.69
Female,48-61,30k-50k,<=5 years,8,0.74
Female,61-75,30k-50k,<=5 years,8,0.84
Female,75+,30k-50k,<=5 years,8,0.87
Others,18-33,30k-50k,<=5 years,7,0.78
Others,33-48,30k-50k,<=5 years,9,0.75
Others,48-61,30k-50k,<=5 years,8,0.72
Others,61-75,30k-50k,<=5 years,8,0.83
Others,75+,30k-50k,<=5 years,8,0.77
Male,18-33,50k-80k,<=5 years,8,0.61
Male,33-48,50k-80k,<=5 years,6,0.62
Male,48-61,50k-80k,<=5 years,7,0.67
Male,61-75,50k-80k,<=5 years,8,0.61
Male,75+,50k-80k,<=5 years,7,0.68
Female,18-33,50k-80k,<=5 years,9,0.74
Female,33-48,50k-80k,<=5 years,7,0.74
Female,48-61,50k-80k,<=5 years,6,0.78
Female,61-75,50k-80k,<=5 years,7,0.7
Female,75+,50k-80k,<=5 years,6,0.78
Others,18-33,50k-80k,<=5 years,6,0.84
Others,33-48,50k-80k,<=5 years,7,0.83
Others,48-61,50k-80k,<=5 years,6,0.81
Others,61-75,50k-80k,<=5 years,2,0.75
Others,75+,50k-80k,<=5 years,7,0.76
Male,18-33,80k+,<=5 years,7,0.64
Male,33-48,80k+,<=5 years,7,0.74
Male,48-61,80k+,<=5 years,7,0.75
Male,61-75,80k+,<=5 years,7,0.77
Male,75+,80k+,<=5 years,6,0.76
Female,18-33,80k+,<=5 years,7,0.79
Female,33-48,80k+,<=5 years,7,0.84
Female,48-61,80k+,<=5 years,6,0.73
Female,61-75,80k+,<=5 years,7,0.79
Female,75+,80k+,<=5 years,7,0.8
Others,18-33,80k+,<=5 years,1,0.7
Others,33-48,80k+,<=5 years,2,0.9
Others,48-61,80k+,<=5 years,2,0.91
Others,61-75,80k+,<=5 years,8,0.86
Others,75+,80k+,<=5 years,5,0.78
Male,18-33,30k-50k,>5 years,7,0.9
Male,33-48,30k-50k,>5 years,6,0.89
Male,48-61,30k-50k,>5 years,9,0.86
Male,61-75,30k-50k,>5 years,8,0.98
Male,75+,30k-50k,>5 years,7,1.0
Female,18-33,30k-50k,>5 years,7,0.91
Female,33-48,30k-50k,>5 years,1,1.0
Female,48-61,30k-50k,>5 years,7,0.93
Female,61-75,30k-50k,>5 years,7,0.92
Female,75+,30k-50k,>5 years,6,0.94
Others,18-33,30k-50k,>5 years,6,0.93
Others,33-48,30k-50k,>5 years,1,0.93
Others,48-61,30k-50k,>5 years,8,0.9
Others,61-75,30k-50k,>5 years,6,0.92
Others,75+,30k-50k,>5 years,6,0.89
Male,18-33,50k-80k,>5 years,6,0.95
Male,33-48,50k-80k,>5 years,9,0.95
Male,48-61,50k-80k,>5 years,7,0.95
Male,61-75,50k-80k,>5 years,7,0.95
Male,75+,50k-80k,>5 years,7,0.98
Female,18-33,50k-80k,>5 years,7,1.0
Female,33-48,50k-80k,>5 years,6,0.94
Female,48-61,50k-80k,>5 years,7,0.97
Female,61-75,50k-80k,>5 years,7,0.95
Female,75+,50k-80k,>5 years,6,0.97
Others,18-33,50k-80k,>5 years,7,0.98
Others,33-48,50k-80k,>5 years,6,0.99
Others,48-61,50k-80k,>5 years,7,0.99
Others,61-75,50k-80k,>5 years,7,0.99
Others,75+,50k-80k,>5 years,7,0.98
Male,18-33,80k+,>5 years,7,0.94
Male,33-48,80k+,>5 years,7,0.96
Male,48-61,80k+,>5 years,7,0.94
Male,61-75,80k+,>5 years,7,0.97
Male,75+,80k+,>5 years,7,0.95
Female,18-33,80k+,>5 years,7,0.98
Female,33-48,80k+,>5 years,7,1.0
Female,48-61,80k+,>5 years,7,0.93
Female,61-75,80k+,>5 years,7,0.98
Female,75+,80k+,>5 years,7,0.98
Others,18-33,80k+,>5 years,9,0.93
Others,33-48,80k+,>5 years,2,0.97
Others,48-61,80k+,>5 years,2,0.95
Others,61-75,80k+,>5 years,7,0.94
Others,75+,80k+,>5 years,9,0.96
