customer_id,age,gender,income,years_member
2,55,F,112000,5
4,75,F,100000,5
6,68,M,70000,4
9,65,M,53000,4
13,58,M,51000,5
14,61,F,57000,5
15,26,M,46000,8
16,62,F,71000,6
17,49,M,52000,8
19,57,M,42000,5
20,61,F,40000,4
21,40,F,71000,6
22,64,M,100000,5
23,78,F,71000,5
25,42,M,69000,9
26,56,F,88000,4
28,33,F,52000,5
29,46,F,59000,5
30,59,M,41000,7
31,67,M,96000,8
32,53,O,52000,5
33,22,M,70000,5
34,96,F,89000,5
35,40,M,33000,6
36,69,F,57000,6
38,56,M,68000,8
39,26,F,63000,5
41,75,M,40000,7
42,20,F,30000,6
43,45,M,33000,4
44,61,M,98000,5
47,69,F,37000,9
48,54,F,80000,5
49,39,M,51000,8
50,41,F,41000,7
51,79,F,48000,7
52,66,F,38000,4
53,56,F,52000,5
54,39,F,56000,8
56,42,M,96000,6
59,78,F,93000,6
60,45,M,48000,5
61,29,M,50000,6
62,44,M,35000,5
63,63,M,56000,4
64,36,M,56000,5
65,76,F,47000,4
66,68,M,87000,5
67,75,M,52000,7
68,67,M,76000,5
69,77,M,51000,6
70,76,M,64000,8
71,57,M,98000,4
72,53,F,72000,6
73,53,F,117000,6
74,53,F,55000,5
75,61,F,112000,5
76,67,F,77000,6
77,58,F,85000,4
78,46,F,36000,4
79,30,M,41000,5
80,59,M,89000,5
82,51,M,41000,7
83,27,M,35000,4
84,40,M,53000,4
86,73,F,91000,4
87,74,F,107000,7
88,42,M,66000,7
89,78,M,58000,7
90,54,F,53000,6
91,70,F,74000,4
92,49,F,57000,5
93,62,F,57000,4
94,64,M,70000,5
95,89,F,87000,5
96,73,M,51000,4
98,50,F,93000,5
99,90,F,98000,7
100,68,F,84000,6
101,60,M,64000,5
102,45,M,54000,5
103,66,M,49000,6
106,19,F,73000,6
107,66,F,58000,4
108,72,F,72000,6
110,76,M,63000,6
111,52,M,78000,5
112,55,M,31000,5
113,39,F,60000,5
114,45,F,44000,6
115,57,F,114000,5
116,74,M,48000,4
117,18,M,47000,6
118,53,M,96000,5
119,59,F,98000,5
120,57,M,46000,8
121,51,F,56000,5
124,64,F,37000,5
125,71,M,57000,5
126,64,F,66000,5
127,83,M,46000,4
128,26,M,71000,5
130,29,F,58000,4
131,43,M,70000,5
132,89,F,65000,4
133,49,F,79000,4
134,79,M,67000,6
135,55,F,94000,5
136,55,M,66000,5
137,45,M,31000,5
138,52,M,30000,4
139,39,M,55000,6
140,77,M,69000,4
141,66,M,60000,4
142,69,F,87000,5
143,74,M,53000,8
145,75,F,87000,4
146,59,F,85000,7
147,47,M,66000,9
148,20,M,69000,4
149,60,M,108000,5
150,65,M,61000,4
151,33,M,43000,7
152,39,F,67000,5
153,49,M,59000,4
154,68,M,58000,4
155,42,M,80000,5
156,72,M,33000,4
157,18,F,49000,5
158,32,F,42000,4
159,67,M,50000,5
160,52,M,42000,4
161,38,M,64000,5
162,60,F,77000,4
163,62,F,77000,5
164,55,F,51000,4
165,22,M,63000,4
166,34,M,41000,5
167,46,M,60000,8
168,85,M,67000,4
169,51,F,85000,5
171,53,F,85000,6
172,51,M,92000,6
174,48,M,44000,7
175,52,M,72000,4
177,62,M,53000,6
178,42,M,62000,4
179,55,M,65000,5
180,27,F,50000,7
181,68,M,107000,4
182,74,F,83000,5
183,77,M,66000,8
184,35,M,72000,4
185,50,F,69000,5
186,45,M,94000,7
187,82,M,87000,6
188,40,M,57000,9
189,66,M,34000,4
190,52,M,63000,4
191,57,F,89000,6
192,68,M,69000,6
193,21,M,52000,4
194,61,M,44000,5
196,58,F,54000,4
197,67,F,54000,4
198,24,M,61000,5
200,26,M,35000,5
201,71,F,105000,5
202,69,F,64000,5
203,81,M,93000,4
204,62,M,73000,6
