customer_id,age,gender,income,years_member,offer_complete_status
4,75,F,100000,5,1
9,65,M,53000,4,1
14,61,F,57000,5,1
31,67,M,96000,8,1
34,96,F,89000,5,1
35,40,M,33000,6,1
41,75,M,40000,7,1
44,61,M,98000,5,0
48,54,F,80000,5,1
49,39,M,51000,8,1
59,78,F,93000,6,1
62,44,M,35000,5,1
66,68,M,87000,5,1
68,67,M,76000,5,1
69,77,M,51000,6,0
74,53,F,55000,5,0
76,67,F,77000,6,0
77,58,F,85000,4,1
82,51,M,41000,7,1
83,27,M,35000,4,1
84,40,M,53000,4,0
86,73,F,91000,4,1
91,70,F,74000,4,0
98,50,F,93000,5,1
101,60,M,64000,5,1
103,66,M,49000,6,1
108,72,F,72000,6,1
110,76,M,63000,6,1
113,39,F,60000,5,1
115,57,F,114000,5,1
118,53,M,96000,5,1
124,64,F,37000,5,1
125,71,M,57000,5,0
127,83,M,46000,4,0
131,43,M,70000,5,0
134,79,M,67000,6,1
137,45,M,31000,5,0
138,52,M,30000,4,0
139,39,M,55000,6,1
142,69,F,87000,5,1
145,75,F,87000,4,0
146,59,F,85000,7,1
148,20,M,69000,4,0
153,49,M,59000,4,1
156,72,M,33000,4,0
158,32,F,42000,4,1
163,62,F,77000,5,0
165,22,M,63000,4,0
167,46,M,60000,8,1
172,51,M,92000,6,1
180,27,F,50000,7,0
182,74,F,83000,5,0
184,35,M,72000,4,1
189,66,M,34000,4,0
193,21,M,52000,4,1
197,67,F,54000,4,0
198,24,M,61000,5,1
200,26,M,35000,5,0
201,71,F,105000,5,1
207,52,F,92000,5,0
208,50,M,70000,5,1
209,54,M,118000,5,0
210,75,F,109000,4,1
213,54,F,99000,7,1
215,82,M,72000,4,1
219,44,M,53000,4,0
224,60,F,59000,5,0
225,83,M,54000,5,1
228,68,M,62000,6,1
229,63,F,110000,5,1
230,40,F,51000,4,0
231,79,F,99000,5,0
238,71,F,56000,4,1
243,77,F,80000,6,1
246,55,M,60000,6,1
248,51,M,54000,7,0
255,34,M,34000,5,1
257,85,F,71000,6,1
258,75,F,69000,9,0
259,76,F,71000,5,1
261,58,M,70000,4,1
265,64,F,95000,7,1
266,72,M,39000,5,1
268,49,F,68000,5,1
272,56,F,87000,5,1
276,42,M,91000,5,1
282,30,F,40000,5,1
284,100,F,63000,7,1
287,50,M,90000,8,1
290,37,M,50000,6,1
303,52,M,85000,8,1
312,42,F,56000,5,1
313,82,M,110000,6,1
318,53,F,93000,7,1
320,79,M,90000,4,0
322,45,F,88000,4,0
323,48,F,105000,6,0
327,28,M,68000,9,1
328,69,M,47000,8,1
329,73,M,92000,5,1
331,67,F,71000,5,1
332,76,F,34000,4,1
333,55,F,53000,7,1
336,57,M,41000,4,1
338,54,F,70000,4,1
344,58,F,76000,5,1
345,51,M,70000,5,0
348,61,M,32000,4,1
354,42,M,75000,5,1
357,57,F,83000,6,1
360,57,F,67000,6,1
361,57,M,71000,5,1
363,83,F,114000,7,1
364,35,F,72000,4,1
370,63,M,58000,5,1
372,67,M,56000,6,1
373,68,F,50000,5,1
374,55,M,73000,5,1
378,40,M,39000,5,1
379,83,M,61000,4,0
385,61,F,99000,6,1
387,58,M,36000,4,0
390,36,M,31000,4,0
396,80,F,48000,4,1
397,25,M,66000,7,0
400,56,F,109000,4,1
404,49,M,104000,4,0
408,57,F,37000,4,1
410,80,M,87000,5,1
411,43,M,52000,6,1
412,54,M,70000,5,0
414,57,F,95000,5,1
422,45,F,99000,6,1
428,48,M,68000,5,1
429,53,M,60000,4,0
435,44,M,37000,8,1
436,25,M,40000,5,1
438,34,M,59000,5,1
441,51,F,92000,4,0
442,47,M,44000,5,0
443,63,F,70000,4,0
448,43,M,58000,4,0
451,65,F,66000,4,0
455,49,F,57000,5,1
456,53,M,104000,5,1
461,69,M,62000,7,1
463,38,F,55000,7,1
469,41,M,55000,4,0
